epoch,train_loss,val_loss
1,0.03707898091198059,0.017273975536227226
2,0.014256734229428204,0.009543265216052532
3,0.006582911330553,0.004305776208639145
4,0.0033409638726560956,0.0023098948877304792
5,0.002134659519549786,0.0014189986977726221
6,0.0019008004486462788,0.0014675753191113472
7,0.0016967679461742048,0.001250439090654254
8,0.0014429546692490316,0.001172503107227385
9,0.0014732194443543751,0.0014513218775391579
10,0.001354964157942225,0.0010767346248030663
11,0.0012954312056025262,0.001066867378540337
12,0.0013154269933390121,0.001201963284984231
13,0.0013897737443218368,0.0011465598363429308
14,0.001243876066598061,0.0012183933285996318
15,0.001201678556594344,0.0010046169627457857
16,0.0012071701787869657,0.0011573877418413758
17,0.0011640705593061029,0.0009434472885914147
18,0.0011261888695962465,0.0009282752871513367
19,0.001080989032951102,0.000979372300207615
20,0.0011954991679981742,0.0009667351841926575
21,0.0010813243448195096,0.0010723848827183247
22,0.001039020124855533,0.0008822279633022845
23,0.0009973805526418513,0.0008934640209190547
24,0.0010873220254373002,0.0008616235572844744
25,0.0009991635268210973,0.0008771700086072087
26,0.0009943998154260938,0.0009328025043942034
27,0.0010514466378944028,0.0008575051324442029
28,0.0011239202964740496,0.0008683556225150824
29,0.0009666728882094551,0.0008975472301244736
30,0.0009644802388114234,0.0009063046891242266
31,0.0009322129138908757,0.0008142831502482295
32,0.0009598510565538483,0.0012501319870352745
33,0.0010181734263856094,0.0008300396148115396
34,0.0009204666160880343,0.0009524378110654652
35,0.0010040212737134936,0.0011177004780620337
36,0.0009132029842013461,0.0008347671828232706
37,0.0009230588437180574,0.0008741516503505409
38,0.0009452421851292776,0.0008757758769206703
39,0.000952762522501871,0.0008707078523002565
40,0.0009563575537564853,0.0009331350447610021
41,0.000891668518817281,0.0008624321781098843
