epoch,train_loss,val_loss
1,0.002011683724816406,0.0013919479679316282
2,0.0012630609176848663,0.0011051743058487773
3,0.0012016757651457533,0.0010972185991704464
4,0.001174985660505612,0.0010471894638612866
5,0.0011312431674700765,0.0010307448683306575
6,0.0011161891153808328,0.0010164265986531973
7,0.0011022362807096098,0.0010231907945126295
8,0.001087006689223459,0.0010046676034107804
9,0.001079698856012993,0.0009915275732055306
10,0.0010644547546777526,0.0010078648338094354
11,0.001061080328769043,0.00100177270360291
12,0.0010570041676756484,0.0009940918534994125
13,0.0010469845040391823,0.0009930009255185723
14,0.001041155584866226,0.0009608981781639159
15,0.0010406407984637517,0.0009776214137673378
16,0.0010299426960140789,0.0009621126810088754
17,0.0010249424436661212,0.0009744827402755618
18,0.0010202064525617013,0.0010162702528759837
19,0.0010155355493338446,0.0009656575275585055
20,0.0010108695692059222,0.0009590069530531764
21,0.001003852915120485,0.0009652024018578231
22,0.0009974169726044045,0.0009633497102186084
23,0.001000462194812815,0.0009471967350691557
24,0.0009917961779035568,0.0009781692642718554
25,0.000986705771876484,0.0009618636686354876
26,0.0009820884385557161,0.0009485933696851134
27,0.0009748998108828613,0.0009564955835230649
28,0.0009633845329283733,0.0009632843430154026
29,0.0009597475290060956,0.0009948628721758723
30,0.0009565726473920953,0.0009794716024771333
31,0.0009510507103091716,0.0009873824892565608
32,0.0009521782285490365,0.0009370201150886714
33,0.0009362298113258414,0.001039970782585442
34,0.0009296105081149111,0.0009728751610964537
35,0.0009312355766272973,0.0010451502166688442
36,0.0009247999069041079,0.0009514774428680539
37,0.0009152616297285705,0.0009653681772761047
38,0.0009044370769154202,0.0010687061585485935
39,0.0009065696676719904,0.0009524030610918999
40,0.0008926866036953393,0.0010454767616465688
41,0.0008890020394621578,0.0009988165693357587
42,0.0008877104198060795,0.0009683814132586122
