MAE,RMSE,MAPE,model
28.28605996344809,43.47597938760507,11.831630221750682,LSTM
28.50507981696057,43.58811691408579,12.035040338440599,GRU
30.386935366596187,45.57862396193892,15.064727580979822,CNN
