epoch,train_loss,val_loss
1,0.005726159923316268,0.001265587517991662
2,0.002491715347747801,0.001261568279005587
3,0.002402637725374306,0.0011750146513804793
4,0.002395997472980759,0.0012072086101397872
5,0.002350622045655125,0.0014572308864444494
6,0.002362847457762366,0.0011886623688042164
7,0.002345641423285617,0.0011435095220804214
8,0.002332401337138523,0.0011896436335518956
9,0.0023123650863742357,0.0013515795581042767
10,0.00233084193557542,0.00125860923435539
11,0.0022977592199844455,0.0013233359204605222
12,0.0023318492719902654,0.0011920233955606818
13,0.0023461256862569407,0.0011214715195819736
14,0.00230464795973698,0.0011313053546473384
15,0.0023212522284892655,0.0011136436369270086
16,0.0023242275038781765,0.0010873188730329275
17,0.0023154653577357495,0.0011478298110887408
18,0.0023268401737784944,0.0011323161888867617
19,0.0022736083618673797,0.0011019749799743295
20,0.002320374122923184,0.001198480953462422
21,0.002297986490943237,0.001093642320483923
22,0.002271840732285648,0.0010811251122504473
23,0.0022758161437082436,0.0010987103451043367
24,0.0022598956169955146,0.0010988847352564335
25,0.0022838188946246165,0.0010885553201660514
26,0.0023002163147045128,0.001096906140446663
27,0.0022653830739347842,0.0010999898659065366
28,0.0022725384827819183,0.0011007568100467324
29,0.0022718725028802195,0.0012140830513089895
30,0.0022602783982645733,0.0010885936208069324
31,0.002268573016629098,0.0011035435600206256
32,0.002276555528285928,0.0012058471329510212
