MAE,RMSE,MAPE,site_id
33.64855194091797,45.89979319806354,10.281994,970
32.790531158447266,43.35725360801451,8.118124,2000
22.054607391357422,30.30085653472986,12.140625,2200
19.57032012939453,27.046242004074593,12.818982,2820
14.404250144958496,19.60201788654957,14.320594,2825
29.535106658935547,39.332432968265834,11.540377,2827
22.152225494384766,30.12836105148167,13.913949,2846
79.09540557861328,108.07832717380252,24.311243,3001
29.898578643798828,40.20450651046472,11.754206,3002
25.444787979125977,33.39316387458199,6.727681,3120
22.808589935302734,31.05073972548802,11.598728,3122
27.256877899169922,36.4149483305148,10.454598,3126
22.865909576416016,29.81364032475844,13.0071745,3127
23.671422958374023,33.32109374084136,15.436835,3180
30.075401306152344,39.71897281851348,11.631833,3662
29.40693473815918,38.175066383169195,17.337332,3682
26.322656631469727,35.57565455849864,26.414951,3685
29.254833221435547,40.14905851217513,15.147845,3804
70.69495391845703,98.35131147447908,33.228596,3812
23.357929229736328,30.759553743257964,15.354213,4030
30.819950103759766,40.60743009482686,13.6540785,4032
24.586088180541992,32.733934961242824,10.253223,4034
30.483415603637695,39.11652201975369,12.503259,4035
27.705595016479492,35.900947783558756,9.915935,4040
29.7805118560791,39.43858488256218,9.208206,4043
15.809626579284668,20.848103813469162,19.379284,4051
28.13332176208496,37.862565319046496,16.404789,4057
24.05353546142578,32.33238968668358,14.856892,4063
14.230224609375,19.443070475157803,15.75928,4262
27.105588912963867,35.583897272743855,10.138667,4263
23.79006004333496,32.7321672883209,11.895902,4264
23.429073333740234,31.911172604774627,8.724597,4266
22.34963035583496,29.885087740180406,11.388635,4270
19.00609588623047,25.178172464504723,15.29243,4272
21.888713836669922,29.282241136840838,16.963446,4273
20.508317947387695,27.82131948472419,13.345064,4321
18.11964988708496,23.435709567029463,15.111308,4324
18.811586380004883,25.09323678257874,12.989179,4335
22.73499298095703,31.78428804923708,16.933666,4812
22.569499969482422,30.124671775960895,10.822203,4821
