epoch,train_loss,val_loss
1,0.019580397389030883,0.007737936917692423
2,0.005693704355508089,0.0022151151206344366
3,0.003600607960603185,0.0008315929444506764
4,0.00240997660217718,0.0006896810955367982
5,0.0018504063944361868,0.0007183990674093366
6,0.0018830493329063294,0.0007008264656178653
7,0.0016904604687754596,0.0009505503112450242
8,0.0019284999829583935,0.0007279510027728975
9,0.0018063226432007337,0.000598286569584161
10,0.0014619536398510849,0.0005724566290155053
11,0.0014550435303207782,0.0006077330908738077
12,0.0014739593588894912,0.000736078480258584
13,0.0014004831983973937,0.0006665982073172927
14,0.0012159824938631602,0.0005553159862756729
15,0.001288230151181952,0.0010397953446954489
16,0.0011899444230255626,0.0005580750294029713
17,0.0011857645586133003,0.0006805284647271037
18,0.0012542565440064267,0.0007639466202817857
19,0.0011252553621676588,0.0005794552271254361
20,0.0012858619789652052,0.0005433842889033258
21,0.0011562164309286765,0.0006218940252438188
22,0.0011714993733986621,0.0005733933649025857
23,0.0010532193710022265,0.0005354962777346373
24,0.0010539855196377234,0.0005989219062030315
25,0.0011104834552425596,0.0005588034982793033
26,0.0011150059438059254,0.0010195637587457895
27,0.0012162186090819657,0.0007624738500453532
28,0.0010238539599370035,0.0005753628793172538
29,0.0010028578112796244,0.0006579795735888183
30,0.0010799997641394536,0.000586789334192872
31,0.0009973158303182572,0.0007709873025305569
32,0.0010181270555467419,0.0005262471968308091
33,0.001009004628507509,0.0005748517578467727
34,0.0009622174002865832,0.0004935006145387888
35,0.0009233452424052215,0.0004892477300018072
36,0.00093353904565678,0.0005200705491006374
37,0.0009807134296612016,0.0006005278555676341
38,0.0009791279906436565,0.000492064980790019
39,0.0009745313002476616,0.000669224769808352
40,0.0010169711835231513,0.0005904089193791151
41,0.0009273100530706523,0.0004778212169185281
42,0.0008826714289921617,0.0005245165666565299
43,0.0010123268483088366,0.0005886668805032969
44,0.0009264664762350361,0.0005110063357278705
45,0.0008769434191183083,0.0005459141684696078
46,0.0009606887534674671,0.0007697074906900525
47,0.0008498469911818762,0.0005182859604246914
48,0.0009537078375514182,0.0005613063112832606
49,0.0009400931224855225,0.0007835279102437198
50,0.0008788086716011758,0.0007959029171615839
51,0.0009545555346578892,0.0008714384748600423
