MAE,RMSE,MAPE,site_id
37.42533493041992,50.708315412298255,10.378185,970
41.2266960144043,54.612596024463535,10.0759945,2000
24.75929069519043,33.582383614892684,18.219494,2200
19.48818588256836,26.931637721303964,11.398635,2820
15.819777488708496,21.000361121569508,15.551344,2825
30.587736129760742,41.14794430238891,10.674049,2827
27.41991424560547,37.750619239022924,14.033115,2846
87.75064086914062,119.47515840777321,28.260935,3001
33.301700592041016,45.51097695542801,10.417902,3002
30.30495834350586,39.26818659571161,7.4869184,3120
25.288360595703125,34.33760750347205,12.921312,3122
34.07847595214844,45.11721117423621,12.483428,3126
27.026321411132812,36.35104283826927,12.400939,3127
22.721878051757812,32.2404127434372,14.124085,3180
36.924354553222656,48.733132598783605,11.666444,3662
26.6095027923584,35.77309370740022,11.030399,3682
30.593278884887695,44.17241250336218,25.683758,3685
35.4853401184082,47.53757765244775,15.584472,3804
73.68690490722656,102.5083599868201,33.229095,3812
26.529823303222656,34.88145381592487,15.639168,4030
31.666967391967773,42.22418254740848,12.174497,4032
30.22578239440918,40.20595780439449,12.287458,4034
32.4766845703125,42.02013677430441,11.392094,4035
28.272371292114258,36.92899747477837,9.790699,4040
36.93645095825195,49.152368429869426,9.905049,4043
16.28993797302246,22.098242835704863,16.297646,4051
29.352563858032227,39.86189537797971,14.446842,4057
24.72140884399414,33.82503955328434,13.619063,4063
13.289300918579102,18.223669837164643,13.196571,4262
28.092910766601562,37.78601861965613,9.231436,4263
28.52027130126953,38.04763859603346,12.28116,4264
27.649742126464844,36.32805443541534,11.541263,4266
26.929861068725586,35.27219768723661,11.710845,4270
20.618953704833984,27.26989355913518,13.036078,4272
22.801820755004883,31.474435271877297,14.799982,4273
22.549049377441406,31.153511194817593,11.713384,4321
21.849411010742188,28.873232832828922,13.660352,4324
22.4932804107666,29.657012511601387,14.542346,4335
24.293701171875,32.92514518642059,17.276863,4812
23.954648971557617,32.627695724956006,10.579706,4821
