MAE,RMSE,MAPE,site_id
37.17713819202195,50.45863352523066,12.219760102925326,970
35.41676133718246,47.341473975364615,8.485347828545065,2000
22.81477953531803,32.07615061359242,11.405067429380985,2200
19.404425418275036,26.289269890925016,13.117894723947563,2820
14.767728213571075,20.36079239850015,15.017017729097448,2825
33.36493532678001,45.04780232046052,11.337692686415355,2827
25.03548187756131,33.70608114045795,15.412533527023697,2846
87.60302173683786,119.60433258429093,27.037591530511307,3001
32.532020434089326,43.68581094474263,14.519738556082412,3002
26.06048436450143,34.02086614295958,6.843823291822486,3120
25.45164522146567,34.33458885711975,15.003670068878746,3122
29.47524259844397,39.10382942953885,11.941826818860946,3126
25.204862121222675,33.11698890617017,15.647924815157815,3127
23.942619731283596,33.6265718368749,16.845550168938413,3180
34.91250456194592,46.0053396136831,13.22980087342506,3662
28.47683692487896,38.21377663656049,13.951608087303361,3682
25.331621296894856,31.943216521829,25.72192364117583,3685
30.758473585813473,42.237063632535396,15.658435490585621,3804
75.51806303171011,106.69111137851453,28.702297361941024,3812
26.026756427290604,34.49124364726623,17.22166389788054,4030
29.567302870954205,38.815730835438494,13.536541557228416,4032
29.318613686113277,38.65627752093477,11.28965275426988,4034
30.312633678953873,38.60696667161381,12.487536831224167,4035
28.269671444200043,36.733551062507644,10.732508692948704,4040
32.83675188488431,43.83290034019025,9.555253932134429,4043
15.19149841259942,20.54080143505753,15.108511557973547,4051
29.140223115937324,39.456241188224205,16.2610444207681,4057
22.657293560158493,31.320105755369624,11.560691492188846,4063
12.273953289225481,16.942846714681302,12.93668506715315,4262
27.108636710954748,36.025524805037705,9.704349591093395,4263
26.53191570746593,35.75932660135294,14.7970717511896,4264
27.3862371037149,36.692777359598566,10.646105855822055,4266
25.07826489261073,33.466334423733585,12.663319511382188,4270
18.223454313655186,24.32049831299087,13.437685512894996,4272
22.13845390641791,29.556119108250865,17.107689492163846,4273
21.132197574672535,28.774237935174806,13.524445824459729,4321
17.570003919048695,23.038781857444217,13.381769696254487,4324
21.506015200454456,28.356226197357127,14.832967994876098,4335
23.120520564093106,31.795682188283255,15.664151155148815,4812
23.075475013790985,31.20187860210767,11.373568218059491,4821
