MAE,RMSE,MAPE,site_id
34.65012741088867,46.90512833852099,11.723016,970
37.214447021484375,49.79137628489245,9.344236,2000
21.06283187866211,28.586764857185223,12.354133,2200
21.052940368652344,28.35727006651028,14.976285,2820
14.27662181854248,18.7317326378845,17.034336,2825
29.834087371826172,40.22947937448591,10.907153,2827
20.111988067626953,27.189451932444662,12.515105,2846
84.95425415039062,116.99428237899065,26.309368,3001
31.079992294311523,41.676044680311406,12.881154,3002
22.7437686920166,29.94241502907602,5.819919,3120
22.729738235473633,30.893257704263423,13.876608,3122
28.366924285888672,37.27417027287462,11.997534,3126
20.573720932006836,27.644580650743624,11.828544,3127
21.04572868347168,29.324466174275877,15.530986,3180
29.656145095825195,39.6219022966031,12.218178,3662
24.99408721923828,33.95583931281187,11.908759,3682
27.119478225708008,37.73248410117352,20.094667,3685
29.763992309570312,40.67730256956498,15.25611,3804
69.46173095703125,97.85101577941079,26.615068,3812
26.15138053894043,34.05644477428703,17.5794,4030
27.855335235595703,36.73856014813064,11.487846,4032
28.517024993896484,37.98686392760907,11.378382,4034
26.61212921142578,34.95142415955679,10.655193,4035
26.043903350830078,33.75225325232932,9.355687,4040
33.55308532714844,44.76999460567521,10.551365,4043
12.931159973144531,17.506939193413423,13.216456,4051
25.168991088867188,34.00605091779164,15.876786,4057
23.205169677734375,30.806578649469298,16.424503,4063
12.346219062805176,16.908007179650397,13.185846,4262
24.866426467895508,32.65286876933155,9.97887,4263
27.560388565063477,37.459175369139366,13.856424,4264
24.085866928100586,32.88738107518407,10.5052185,4266
24.678808212280273,33.21392655185754,12.695585,4270
17.742395401000977,23.33325645797418,13.435641,4272
19.652063369750977,26.831374703079067,14.629375,4273
21.064672470092773,28.48069778787688,14.696418,4321
17.676326751708984,22.887834460878857,14.153462,4324
18.33641242980957,24.14615506036559,13.130554,4335
23.274049758911133,32.72191551365556,15.140941,4812
21.403610229492188,29.13774910406709,11.230402,4821
